canver
[[ 1.96030951  0.79264772]]
[[ 1.40617108  0.41856304]]
[[ 2.05902719  1.37133563]]
[[ 2.14181256  1.09602678]]
[[ 1.8232882   1.00520122]]
[[ 1.69096088  0.93197525]]
[[ 1.750947    0.73538089]]
[[ 1.22038579  0.2436364 ]]
[[ 2.0972054   0.95031047]]
[[ 2.04009628  0.93604732]]
[[ 1.47173762  0.4464812 ]]
[[ 1.10730958  0.32498619]]
[[ 1.97791338  0.922261  ]]
[[ 1.95758486  1.34504139]]
[[ 1.23145962  0.20641544]]
[[ 1.73279476  0.70316923]]
[[ 1.9725647  0.8393563]]
[[ 1.72477293  0.72683048]]
[[ 0.75537282 -0.20616964]]
[[ 1.64581442  0.37454101]]
[[ 1.18197536  0.22144666]]
[[ 0.8167972  -0.09500447]]
[[ 1.3248868   0.34756619]]
[[ 0.7466951  -0.00987515]]
[[ 1.6729176   0.61899006]]
[[ 0.85688823  0.27286848]]
[[ 1.36932659  0.50993878]]
[[ 2.02160263  0.96307337]]
[[ 2.14935541  0.99765289]]
[[ 0.77100998 -0.08631518]]
[[ 0.7410087  -0.23261878]]
[[ 1.85811615  0.84060156]]
[[ 1.26220632  0.27920333]]
[[ 2.48600388  1.38578725]]
[[ 1.53627491  0.77954924]]
[[ 1.74278092  0.96243346]]
[[ 1.82208776  0.87117898]]
[[ 1.89686108  1.01495636]]
[[ 1.01570535  0.06185797]]
[[ 1.69360495  0.71148562]]
[[ 2.50967312  1.30908096]]
[[ 1.65974188  0.90861309]]
[[ 0.53557974 -0.45646247]]
[[ 1.3718164   0.69886518]]
[[ 0.80083388 -0.22474948]]
[[ 2.09425592  0.9953984 ]]
[[ 2.3588016   1.31049573]]
[[ 0.91461366  0.2602545 ]]
[[ 2.20212126  1.27336991]]
[[ 1.33576775  0.41262046]]
[[ 1.5011611   0.59123623]]
[[ 1.71512866  0.95006788]]
[[ 2.43674469  1.46464443]]
[[ 0.68147188 -0.19733724]]
[[ 1.96382165  0.79887128]]
[[ 1.81612206  0.72930586]]
[[ 1.27364635  0.3992199 ]]
[[ 2.23881102  1.38430059]]
[[-0.01283091 -0.717924  ]]
[[ 1.14672661  0.40124694]]
[[ 1.36488247  0.35858813]]
[[ 1.24642348  0.38320085]]
[[ 1.60878396  0.43597689]]
[[ 1.71398592  0.90003455]]
[[ 2.47223949  1.7066927 ]]
[[ 1.45761323  0.60892034]]
[[ 1.75927949  1.09568405]]
[[ 2.40460634  1.53961265]]
[[ 1.90276384  0.74284208]]
[[ 1.11456537  0.24264452]]
[[ 2.1360178   1.47927833]]
[[ 1.4654057   0.77216613]]
[[ 1.83144689  1.15665019]]
[[ 0.55331093 -0.20125732]]
[[ 1.91187191  1.16060877]]
[[ 1.99919629  0.90148771]]
[[ 1.85729313  0.91830611]]
[[ 2.40530753  1.46625566]]
[[ 1.54857445  0.6237998 ]]
[[ 1.25611305  0.40971556]]
[[ 0.64061445 -0.20332244]]
[[ 1.82530117  0.74896944]]
[[ 1.53433657  0.65133941]]
[[ 1.3878262   0.28631854]]
[[ 2.35075092  1.33951354]]
[[ 1.88950014  0.80922008]]
[[ 0.86895603  0.12554625]]
[[ 0.12652409 -0.52944875]]
[[ 1.57067418  0.63650596]]
[[ 0.96513742  0.09436801]]
[[ 1.88762426  0.80932462]]
[[ 0.83525497 -0.10665509]]
[[ 1.82362318  1.25920761]]
[[ 1.66459513  0.7653966 ]]
[[ 1.60803246  0.64247054]]
